date,content
175,최악입니다 이거 사용하지 마세요 조식 미 포함 만월이길래 조식 포함으로 만 원 결제했는데 나중에 결제 내역에도 조식 내용이 안 나와서 원래 안 나오는 건가 보다 하고 당일에 호텔에서 확인한 결과 조식 포함이 안 되어 있어서 식사를 못하고 나왔습니다 고객센터에 문의한 결과 증거를 내밀어라라고 하기만 할 뿐 문제없다고 같은 소리 반복합니다 어플로 다음 주 그 담 주고 그 담 주금액을 확인해도 조식 포함 가격은 만 원이 고 조식 미 포함이 만 원입니다 당연히 저희가 간 날도 성수기가 아닌 평범 한 주말이었고요 일부러 상담원 연결 안 되게 해서 문의를 줄이려는 건지 고객센터도 기본분이 상대기해야 되고 기술적 문제를 확인한 증거를 고객한테 내밀면서 문제없다고 해야 하는 거 아닌가 요 문제 해결 대처도 아무것도 모르는 알바 상담원 데리고 하는 거 같고 대처 방식이 참 납득이 안 되네요 고작 만원 잘 아껴서 기술 보안이나 하든가 하세요 어플 후기 보니까 문제 많은 거 같던데
176,좋게 사용하고 있습니다
177,해외 숙소 예약이 편하고 다른 사이트보다 저렴한 경우가 많습니다
178,카드번호 입력할 때 자꾸 숫자 하나만 입력하면 키패드가 사라져버립니다
179,아고 다 문제가 많네요 예약한 게 수정 좀 하려하다 병 생기는 줄 알았습니다 결국 포기하고 대충 다녀오는 걸로 아고다가 이런 걸 노리는 건 가사 담은 로봇이 고 통화는 아예 없음 미치는 줄 그리고 예약번호 뭐 이런 건 확인을 할 수 있게 하든지 문자라도 주시든지 예약도 숙소 전화해서 예약된 거 확인했어요 로그인 자체가 안 되니 답답합니다
180,아이들이랑 이틀째 머물고 있는데 방도 넓고 무엇보다 욕실이 맘에 드네요 직원분들도 친절하시고 주변에 식당도 많고 편 세 권에 교통도 편리 매우 만족합니다 하루 더 있어야 해서 바로 연장 들어갑니다
181,예약이 편리하고 좋아요
182,내가 예약한 호텔에 대해서 취소하려는데 이미 제 카드 번호랑 결제 예정일이 있는 메일은 뜨는데 예약 관리하기 차에 들어가면 예약이 없다고 함 이대로 돈이 빠져나갈 거 같은데 예약번호에 대한 확인 부탁드립니다
183,저렴하고 좋은데 저번에 예약하고 갔는데 안 되잇나고 말도 안 통하는 외국에서 싸웠네요 ㅋ 다시 한번 믿어 볼게요
184,한국 숙소 예약은 현재 아고다가 현재 제일 잘 되어 있는 것 같음
185,항상 불편 없이 이용 중입니다
186,최고의 호텔 사이트입니다 오랫동안 꾸준히 이용하니 가격도 혜택을 많이 받고 있는 것 같아요
187,다양한 곳 알려줘서 편해요
188,여행에는 아고다가 역시 최고
189,아고다 자체는 훌륭함 아고 다 프리미엄 플래티넘 등급으로 예약하면 정말 싼 가격으로 예약할 수 있음다만 PC로 구글을 통해 예약했을 때가 제일 쌈 모바일로 PC처럼 구글을 통해 같은 경로로 예약하려면 좀 더 비싸짐 그래서 앱은 그냥 예약 확인용 or 리 워드 청구용으로만 씀 모바일 앱 웹으로 구글 통해 아고다로 들어왔을 시 PC와 동일한 금액으로 예약되었으면 좋겠음
190,아니 예약관리 앱에서 안 들어 가져요 예약 번호 확인해야 되는데
191,예약관리 조회를 누르면 오류가 뜹니다
192,최악별 점주기도 아까움
193,예약 후 그 외 업무 요청 시 계속 오류 남 상담원 연결도 안 됨 ㅋㅋㅋ
194,메일에서 비번 수정했는데 휴대폰 앱 로그인 시 계속 오류 뜹니다 어떻게 해야 하나요
