date,date,content
120,120,두 달 전에 일에 푸껫에 다이아몬드 클리프 호텔 예약했다가 예약가가 낮아서 그런 건지 일방적으로 아고다에서 취소 처리가 오늘 날짜로 되었습니다 제가 취소한 것이 아닌 증거는 환불 불가 특가 상품이었기 때문입니다 일단 카드 취소 중이라고 되어있기에 기다려보겠습니다만 제가 취소한 것도 아닌데 환불도 안 된다면 가만히 있지는 않겠습니다 덕분에 이 날짜에 급히 다른 곳 숙소 잡느라 돈을 두 배 넘게 지급해야 했네요
121,121,예약이 바로 취소도 안되고 고객센터 연결도 안 되고 완전 자기네 맘대로 하네요 환불도 안 된다고 그냥 아고 다 안 쓰는 게 답인 듯
122,122,여기가 저렴하고 편리한 것 같아요
123,123,아고 다 앱에서 계산했는데 호텔에서 계산이 안 되어있다고 계산하라고 해서 두 번이나 계산했네요 아고다에서 돈을 왜 가져갔는지 문의도 안 되네요
124,124,쉽고 빠르게 예약할 수 있어서 좋네요
125,125,숙소 예약 취고 창이 없군요 취소할 수 있는 전화번호 좀 주십시오 사용이 너무 듭니다
126,126,가격비교하고 예약했어요
127,127,매우 만족합니다
128,128,쓰레기 어플 완전 강매 수준임 한번 예약하면 취소 안됨이 딴 어플 처음 보네 삭제한다 이거 쓰지 마세요 실제 결재할 때랑 가격 차이 개심하고 거의 사기 수준이 마 얘네 고소할 생각임 뭔 쓰지를 않았는데 취소를 아예 못하게 해놓냐
129,129,결제정보 입력에 약간의 오류가 있음
130,130,지금은 불친절해서 이용 안 합니다
131,131,왜 이렇게 앱이 잘 안 열리나요
132,132,캐시백 리워드 예전에는 웹으로 가능했던 걸로 기억하는데 이젠 왜 앱에서만 가능한지 모르겠음 앱 강매하는 거 같아 별로임
133,133,절대 다운로드하지 마세요 결재가 두 번이나 중복되어 있어서 환불하려니 전화도 안 되고 환불도 안 되었습니다 망할 것들입니다 동생 카드로 결제했다가 욕 듣고 너무너무 고통받았네요
134,134,이유는 모르나 좀 오류가 있는 거 같음
135,135,여행 시 항상 잘 사용하고 있어요 거의 항상 최저가에 카드사와 할 일 혜택도 많아서 너무 좋아요
136,136,타 사이트보다 저렴하고 원하는 숙소를 빠르게 구할 수 있어 좋았음
137,137,간편하고 찾기가 쉬워요
138,138,excellent
139,139,늘 느끼지만 깔끔하고 좋아요 UI 짱
140,140,아고 다 좋습니다
141,141,저렴한 예약사이트
142,142,앱 내부 예약 청과 채팅창에서는 결제가 안 되었다고 뜨는데 은행에서는 돈이 나갔고 이메일에서도 결제가 되었다고 메일이 왔습니다 그리고 알아서 취소되고서는 취소 메일도 오지 않네요 고객센터 대응도 오래 걸려서 다시는 안 쓸랍니다
143,143,사용 편리하고 좋아요
144,144,할인율이 좋아요
145,145,아고다 웹페이지는 로그인이 가능한데 어플에서는 로그인이 되었다가 오류가 난다고 하면서 로그인이 안 됩니다 페이스북 로그인이었습니다
146,146,정말끔찍한앱내가본것과다르게취소불가로예약됨바로예약내역확인해서분도안되어서취소하고싶어도불가능고객센터는봇밖에없어서앵무새같은똑같은말만되풀이전화번호간신히찾아서전화하면못기다리고강제로종료이메일도간신히찾아서보냈더니영어로응답환불도개월안에써야하는아고다캐쉬로해주겠다는데그냥안하고말음어플도뭘하려면계속멈추고껏다켜야하고진짜어플도고객대응도다환장할노릇임
147,147,여기 어때야 놀자 보다 저렴히 숙소 구했어요
148,148,숙소가 많고 좋아요
149,149,일단 나와있는 가격이랑 결제금액이 다르고요 결제가 막히기도 하고 요만 원이라고 미끼 던져놓고 막상 만 원이 결제돼서 호구될뻔했습니다 숙소 예약 오류 때문에 시간을 끙끙댔네요 탈퇴도 이메일로 보내야 탈퇴할 수 있다는 게 어처구니없네요 리뷰 보니까 카드 등록해두면 해킹도 당할 수 있다네요 범죄에 이용되기도 하고 예약 내용이 도중에 바뀌기도 하고 결제 시 가격이 달라지고 아주 가관이네요 제가 이용해본 모든 어플 중에 최악입니다 다른 숙박업소 예약 어플 많은데 그걸로 하세요 뭐든지 이것보다는 나을 겁니다
150,150,상품설명에 캐시백 리워드 준다 해서 결제했더니 예약 정보에 캐시백 리워드가 아예 없더군요 그래서 고객센터에 왜 캐시백 리워드가 없냐고 메일 보내네 그 상품은 원래 캐시백 리워드가 지원되지 않는 상품이라 줄 수 없답니다 지원되지 않는 상품이라면 상품설명에 언급하지 말아야죠 소비자 우롱하는 회삽니다
151,151,모든 호텔 여행사 예약만 한곳을 할 수 있어요
152,152,시스템이 너무 불편함
153,153,빠르고 정확히 원하는 정보를 찾아줍니다 만족합니다
154,154,별 하나도 아까움 아버지 세계서 서울로 볼일 보러 가 신대섭 대신 예약해드렸는데 트윈보다 더블이 비쌌지만 혼자 편히 주무시라고 더블로 박에 약해 드림 투숙 기준인 줄 알고 아버지 계정으로 예약함 카드는 내 카드로 결제하고 내정 보도 들어갔음 그런데 예약한 방이 아닌 트윈 더 싼 방으로 예약되었다고 아버지 서울에서 전화 옴 호텔 관리자는 해당 사이트로 연락하라 함 아고다 콜센터 분만에 상담원 연결되었는데 본인 바꾸라 함 아버지는 서울 계시고 내가 결제했고 상담원 연결한 예약번호 카드번호 뒤 자리까지 눌렀는데 확인 안 해주냐 했더니 규정이 본인 통화가 돼야 된다며 무조건 본인이 전화하라고 앵무새처럼 같은 말만 반복함세신데 예약번호 눌러가며 분대기를 어떻게 하냐 전화해서 본인확인만 하고 예약이 잘못됐는지 확인만 해달라 해도 개인 정보가 어쩌고 규정이 그렇다 하며 답답한 소리만 반복함 호텔 예약 원래 다른 사이트 이용해봤지만 예약한 방보다 더 저렴한 방으로 바뀌는 건 첨 경험해보네요 아고 다 가 아니라 아니다 진짜 기분 더럽다
155,155,숙박 앱 중 가장 좋은 조건을 찾아주네요
156,156,정말 너무너무 좋은 숙박 앱입니다 프로모션도 많고 호텔도 많고 제일 먼저 오픈도 되고요 감사합니다
157,157,이름을 알고 있는 숙소를 바로 찾기 할 수가 없다
158,158,방도 잘 잡히고 좋아요
159,159,영어랑한글이랑랙걸리고이벤트페이지에서넘어가면화면이안뜸
160,160,다른 사이트랑 비교해도 저렴해요
